"","MINUTES_REMAINING","PERIOD","Average_Shot_Quantity","Average_Made_Quantity","Average_Percentage"
"1",0,1,12.2205128205128,5.01282051282051,0.410197230381872
"2",0,2,12.6179487179487,5.05384615384615,0.400528347896769
"3",0,3,11.9769230769231,4.81794871794872,0.402269321344466
"4",0,4,11.4333333333333,4.6974358974359,0.410854451670778
"5",0,5,0.874358974358974,0.302564102564103,0.346041055718475
"6",0,6,0.112820512820513,0.041025641025641,0.363636363636364
"7",0,7,0.0128205128205128,NA,NA
"8",0,8,0.0153846153846154,0.00512820512820513,0.333333333333333
"9",1,1,10.0564102564103,4.62820512820513,0.460224375318715
"10",1,2,10.1410256410256,4.74102564102564,0.467509481668774
"11",1,3,9.66410256410256,4.40769230769231,0.456089148315203
"12",1,4,9.73589743589744,4.36666666666667,0.448511983144588
"13",1,5,0.682051282051282,0.287179487179487,0.421052631578947
"14",1,6,0.0846153846153846,0.0384615384615385,0.454545454545455
"15",1,7,0.0102564102564103,0.00256410256410256,0.25
"16",1,8,0.0102564102564103,0.0102564102564103,1
"17",2,1,10.1615384615385,4.51282051282051,0.444107998990664
"18",2,2,10.1102564102564,4.77948717948718,0.472736495054527
"19",2,3,9.48205128205128,4.46923076923077,0.471335857220119
"20",2,4,9.11025641025641,4.13076923076923,0.45341964537011
"21",2,5,0.592307692307692,0.223076923076923,0.376623376623377
"22",2,6,0.0820512820512821,0.0282051282051282,0.34375
"23",2,7,0.0128205128205128,0.00512820512820513,0.4
"24",2,8,0.00769230769230769,0.00769230769230769,1
"25",3,1,10.5666666666667,4.92564102564103,0.466148992962873
"26",3,2,10.3846153846154,4.85897435897436,0.467901234567901
"27",3,3,9.97435897435897,4.57948717948718,0.459125964010283
"28",3,4,9.22564102564102,4.2025641025641,0.455530850472485
"29",3,5,0.57948717948718,0.28974358974359,0.5
"30",3,6,0.0846153846153846,0.0333333333333333,0.393939393939394
"31",3,7,0.0102564102564103,0.00256410256410256,0.25
"32",3,8,0.00769230769230769,0.00512820512820513,0.666666666666667
"33",4,1,10.7461538461538,5.00769230769231,0.465998568360773
"34",4,2,10.1897435897436,4.91025641025641,0.481882234524409
"35",4,3,9.88974358974359,4.62051282051282,0.467202488981073
"36",4,4,9.54871794871795,4.14102564102564,0.433673469387755
"37",4,5,0.497435897435897,0.215384615384615,0.43298969072165
"38",4,6,0.0615384615384615,0.0230769230769231,0.375
"39",4,7,0.00769230769230769,NA,NA
"40",4,8,0.0102564102564103,0.00512820512820513,0.5
"41",5,1,10.7205128205128,5.02051282051282,0.468309016981583
"42",5,2,9.84358974358974,4.59487179487179,0.466788226100547
"43",5,3,10.2358974358974,4.55897435897436,0.445390781563126
"44",5,4,9.34871794871795,4.06153846153846,0.434448710916072
"45",6,1,11.0102564102564,5.12051282051282,0.465067536096879
"46",6,2,10.2230769230769,4.64615384615385,0.454477050413845
"47",6,3,10.1641025641026,4.64102564102564,0.456609485368315
"48",6,4,9.51282051282051,4.48974358974359,0.471967654986523
"49",7,1,11.1333333333333,5.23333333333333,0.470059880239521
"50",7,2,10.2102564102564,4.72820512820513,0.463083877448518
"51",7,3,10.4205128205128,4.88974358974359,0.469242125984252
"52",7,4,9.53076923076923,4.1948717948718,0.440139897767016
"53",8,1,11,5.26153846153846,0.478321678321678
"54",8,2,10.0333333333333,4.54615384615385,0.453105034500383
"55",8,3,10.3923076923077,4.89230769230769,0.470762398223538
"56",8,4,9.28717948717949,4.14102564102564,0.445886250690226
"57",9,1,11.0923076923077,5.27435897435897,0.475496994914471
"58",9,2,10.0487179487179,4.64102564102564,0.461852513396275
"59",9,3,10.4384615384615,4.82307692307692,0.4620486366986
"60",9,4,9.72820512820513,4.34871794871795,0.447021613073274
"61",10,1,10.8564102564103,4.95128205128205,0.456069910250354
"62",10,2,9.98974358974359,4.4974358974359,0.450205338809035
"63",10,3,10.2051282051282,4.85897435897436,0.476130653266332
"64",10,4,9.55384615384615,4.31538461538462,0.451690821256039
"65",11,1,8.72307692307692,3.9025641025641,0.447383891828336
"66",11,2,8.17948717948718,3.51025641025641,0.429153605015674
"67",11,3,8.05897435897436,3.55128205128205,0.440661788100541
"68",11,4,7.88717948717949,3.54615384615385,0.449609882964889
"69",12,2,0.00769230769230769,NA,NA
"70",12,3,0.00256410256410256,0.00256410256410256,1
